Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
Assistant VP of Member Services,< 1 year,,,,20.0,69843165
Sheriffs Office,3 years,  Borrower added on 08/09/11 > Great credit!<br/> Borrower added on 08/09/11 > Want to become debt FREE!<br/> Borrower added on 08/09/11 > Never make a late payment!<br/> Borrower added on 08/09/11 > Great career!<br/>,,,,1058724
LA County DPSS,10+ years,,,,70.0,1673201
Field Technician,10+ years,,,,5.0,39752987
Field Supervisor ,10+ years,"  Borrower added on 02/24/14 > I am starting a new business to help veterans , especially homeless less privileged veterans .<br>",,,,14319029
Sales Rep,10+ years,,,,42.0,10760812
Trainer,10+ years,,,,,63900334
Senior Pastor,7 years,,,,,71330437
Supervisor III,10+ years,  Borrower added on 10/30/13 > Pay off our high interest rate credit cards.<br>,,,,10329679
Senior Credit Support Specialist,10+ years,,,,,47885658
Teacher,10+ years,,,,19.0,58289114
Foreman 1,10+ years,,,,,10637749
Chemist,2 years,,,,20.0,61616049
Personal Banker,4 years,,,,44.0,64547417
Manager,6 years,,,,,67960148
,,,,,,59642207
Air Traffic Security Specialist,10+ years,,,,,42972142
Svendsen's Boat Works,1 year,"After going through divorce, I have found that I own some back taxes. Being low on extra cash at this time I would like to get a loan to pay off the IRS and a local county on these taxes. I would prefer to pay someone else the interest on loans. Thanks for your time.",,,,315574
Manager,10+ years,,,,43.0,65892452
Bus Operator,10+ years,,,,14.0,30585569
Recreation Supervisor,7 years,,,,,53501912
City of Columbus,10+ years,  Borrower added on 08/02/13 > bill consolidation<br>,,,16.0,8216761
Senior Accounting ,10+ years,,,,59.0,59753351
Lead Engineer,10+ years,,,,,67700903
Front Office Adminstrator,1 year,,,,10.0,45460594
Software Engineer,< 1 year,,,,16.0,63048293
The Nielsen Company,10+ years,  Borrower added on 02/13/12 > I will be paying off a L/C loan( balance $5850) and  another personal loan( $6800). The remainder funds will be used to assist in supplies for my kitchen remodeling.<br>Thank you for your interest in helping fund this loan.<br>,,,69.0,1391572
Chaplain,5 years,,,,29.0,70689331
CMS,2 years,,,,23.0,5461595
,,,,,21.0,64866570
President,1 year,,,,24.0,44677410
Owner,< 1 year,,,,36.0,44295150
Merrill Insurance Group,3 years,  Borrower added on 08/14/13 > I am consolidating credit cards in order to pay off debt more quickly.<br>,,,,8307069
HVAC,< 1 year,,,,,65549985
Cleaning Tech,9 years,,,,,42812010
Debt Counselor,< 1 year,,,,,18594782
Pep,1 year,,,,,734799
cpa,10+ years,,,,10.0,62150053
general box worker,< 1 year,,,,,52275526
Pratt & Whitney,10+ years,  Borrower added on 08/05/13 > i WANT TO PAY OFF ALL MY CREDIT CARDS....WITH THE INTEREST i AM CURRENTLY PAYING MIORE THAN THIS LOAN IS FOR.<br>TOTALING ALL MY PAYMENTS I AM CURRENTLY PAYING ABOUT $2500 A MONTH...I ALWAYS PAY MORE THAN THE MINIMUM<br>,,,,8198354
Credit Analyst,3 years,,,,,49224429
"Evergreen Transport, Inc",6 years,,,,52.0,8551646
OFFICE MANAGER,4 years,,,,,64993262
Florida Power and Light,1 year,,,,77.0,8189524
,7 years,,,,,977856
Sales Manager,1 year,,,,28.0,37136167
Project manager,7 years,,,,,60977748
Appalachian Restoration,2 years,,,,,7441092
Truck driver,7 years,,,,,65012869
Locator,10+ years,,,,12.0,70701544
Project Manager,< 1 year,,,,,53282358
Fond du Lac Family YMCA,10+ years,,,,69.0,8547088
Avizet,6 years,,,,,1340456
FINANCE DIRECTOR,10+ years,  Borrower added on 09/26/13 > CONSOLIDATING HIGHER INTEREST CREDIT CARDS<br>,,,,7429071
Kirby off shore marine,9 years,  Borrower added on 09/09/13 > Consolidating all my debt into one monthly payment<br>,,,34.0,8763803
Fire Marshal,10+ years,,,,52.0,59672107
Rehab Aide ,4 years,,,,,22580850
Social Security Administration,3 years,"  Borrower added on 01/07/12 > I am currently a United States Federal Government employee looking to consolidate and pay off all credit card debt. To date, I have always made timely payments toward my debt. Feel free to ask me any additional questions.<br>",,,,1335197
Assistant,10+ years,,,,,58729534
,,,,,,65601379
firefighter/ paramedic,4 years,,,,,33940182
collision tech,9 years,,,,,20336990
Corrosion Tech,5 years,,,,11.0,57965674
Office Manager,9 years,,,,,65461125
,,,,,44.0,61415482
educator,4 years,"  Borrower added on 11/01/13 > Recently purchased an apartment in NYC, did 1 year of reno. Payed for most of it from savings, but do have four different credit cards with remaining debt. It's hard keeping track of everything and would like to consolidate to get back into financial integrity.<br>",,,,10437345
Alliance Data,< 1 year,,,,,1827453
Marketing Secretary,3 years,,,,,61814830
Principal,10+ years,  Borrower added on 09/30/13 > I want to consolidate my bills and pay off in one payment and be free of them.  This is the best way to get them gone in a 3 year period.<br>,,,36.0,9348826
Sr. Research Analyst,1 year,,,,53.0,53945635
Huntington in galls,9 years,  Borrower added on 11/22/12 > To pay off debit<br>,,,,2627357
Registered Nurse,7 years,  Borrower added on 01/07/14 > bought a home about two years ago...needed my tlc and now this will happen..thanks<br>,,,21.0,11933997
Assistant Branch Manager,8 years,,,,61.0,714865
Business Manager,5 years,,,,19.0,61595912
Front Office Manager,10+ years,,,,4.0,19778084
R/GA,1 year,"  Borrower added on 04/19/12 > Consolidating some old medical bills from my mother's treatments.<br><br>  Borrower added on 04/23/12 > I've been at my current job for over a year, being responsible for multiple new business wins and a vital member of the day-to-day servicing of our largest account.<br><br> Borrower added on 04/23/12 > My monthly budget consists of roughly $5000, with $1800 going to living essentials (rent, utilities, groceries).<br>",,,,1498204
Process engineering ,9 years,,,,,64922724
St. John Lutheran Church,8 years,,,,31.0,682915
"Music teacher, substitute teacher",3 years,,,,44.0,70289404
Federal Agent,10+ years,,,,11.0,67752817
"Vice President, Operations",10+ years,,,,,59025337
Senior Aircraft Inspector,10+ years,,,,42.0,43022875
OTR Driver,1 year,,,,,67601965
Case Manager,10+ years,,,,,26807759
manager,10+ years,,,,38.0,43947393
Manager,10+ years,,,,,60174978
University of Phoenix,4 years,,,,27.0,8717604
handyman,1 year,,,,,34711827
Lazydays RV,4 years,,,,,940288
communications officer,10+ years,,,,,39002921
o/n support manager,8 years,,,,,30665153
"Director, Corporate Development",1 year,,,,,65543063
Stallion Oilfield,3 years,,,,67.0,4859167
,,,,,7.0,7108699
Registered Nurse,< 1 year,,,,59.0,10439803
Counselor,10+ years,,,,,51874689
HCA,10+ years,,,,,4223977
Bartender/server,8 years,,,,,16340787
South Bay Cable Corp,10+ years,,,,,1186741
Complex Bill Review Nurse ,3 years,,,45.5,14.0,72767232
Firefighter,3 years,,,,1.0,63108259
Bartender ,10+ years,,,,9.0,64586202
COMMERCIAL MANAGER,10+ years,  Borrower added on 01/29/14 > PAY OFF BILLS<br>,,,9.0,13387119
Program Manager,8 years,,,,,47112170
Supervisor,8 years,,,,72.0,66453687
Asst Controller,10+ years,,,,,63119862
Clerk,6 years,,,,24.0,46011503
Mud Engineer,5 years,  Borrower added on 03/14/14 > Just want to pay off some credit card debt<br>,,,,15048175
Administartion,4 years,,,,,46111928
telecommunications ,10+ years,,,,15.0,49863981
Food Service Manager,10+ years,,,,5.0,15199798
line haul driver,2 years,,,,,35042315
Senior Process Engineer,3 years,,,,4.0,41442622
Palatial concrete,2 years,,,,,5788719
shipping clerk,10+ years,,,,,35123262
Road Driver,10+ years,,,,33.0,70239245
Customer Service,10+ years,,,,,69869112
Correctional Sergeant,7 years,,,,17.0,63129546
Teacher,1 year,,,,22.0,32878617
Continuous Improvement Manager/Six Sigma,10+ years,,,,7.0,58689274
Chief PA of the Heart & Vascular Center,10+ years,,,,18.0,37737824
Line lead,10+ years,,,,,49382512
boilermaker,< 1 year,"  Borrower added on 10/09/13 > consolidate credit and get on my way to financial freedom,with my credit history rest can be assured of my timely payments on this investment.<br>",,,,9380760
Purchasing Specialist,1 year,,,,,19675336
Life Deck/Pacific Pebbles,10+ years,"  Borrower added on 08/10/12 > Truck Purchase<br><br> Borrower added on 08/10/12 > Truck purchase<br><br>  Borrower added on 08/11/12 > looking to purchase truck, little short on funds... planning early pay off<br>thanks!<br>",,,,1727610
laborer,10+ years,,,,47.0,49830450
Project Manager,3 years,,,,,63823473
VP Nursing Education,3 years,,,,46.0,65577063
Health Care Eligibility Director,10+ years,,,,,70621045
Chemist,10+ years,,,,,41393584
Registered Nurse,10+ years,,,,,63476216
Applications Analyst,< 1 year,,,,,1339442
ACADEMIC COACH,10+ years,  Borrower added on 02/06/14 > Consolidation of higher interest rate loans.<br>,,,,13677295
KAISER PERMANENTE,7 years,,,,69.0,6479003
Inventory Clerk,10+ years,,,,76.0,56995270
Customer Service Supervisor,10+ years,,,,61.0,43884987
Debt collector ,6 years,,,,38.0,70277652
chrysler corp,10+ years,,,,61.0,6037871
asst produce manager,10+ years,,,,70.0,17472972
Micros Systems Inc.,10+ years,"  Borrower added on 07/06/10 > test<br/> Borrower added on 07/06/10 > Hello, and thanks for reviewing my loan request.<br/>I am seeking a loan for $4000 to purchase a used car from a private seller.  I have been a Lending Club member for the last year or so, but until now only as a lender.  I have funded about 8 loans as a lender and I believe strongly in this lending model.  I'd much rather pay interest to a bunch of individual lenders than hand it off to a bank.<br/>Personal Information:<br/>- Married (2 years) with no kids<br/>- Wife works full time, our combined income around $100,000/year<br/>- Owned our house for almost 5 years.  We have a 30 year mortgage at 6% with a  balance of $127,000.  We also have a second mortgage with a balance of $12,000 at around 4%<br/>- No car payment at this time<br/>Work:<br/>- I have worked at the same company for almost 11 years. <br/>- I am a project manager for a software company.  We install computer systems in hotels and restaurants.  I work from home 5 days a week and travel occaisionally.  Not having a commute keeps my expenses low.  <br/>Financial:<br/>- We have been working the last couple years towards eliminating any consumer debt.  We focused on my wife's debt first and we're excited to say she is sending in the last check to her last credit card next week.<br/>- We have also been working on our savings and currently have around $6500 in an emergency fund.  I also keep $2000 &quot;padding&quot; in my checking account. I also have about $2000 in a brokerage account and 1000 stock options available to me from my company.  Total liquid savings are around $8500.<br/>- My credit score has been increasing as I pay down and use less and less of my available credit.  We've been doing the &quot;avalanche&quot; method of paying minimum payments to all my cards except the highest interest accounts and it's worked really well.  I've paid off 3 cards completely and am close to #4 next month.  With my current avalanche/snowball plan I will have all of them paid off in December of 2011, which feels great.<br/>- The total balance listed includes the $12,000 second mortgage, which is a HELOC.<br/>Plan for the loan:<br/>- I plan on purchasing a mid-90's Chevrolet Suburban.  There are some great deals on them now with gas prices rising again.  Thanks to my zero-mile commute, gas prices don't affect me too much.  I drive less than 10,000 miles a year.  I like the Suburbans because they are comfortable and have a lot of utility for either carrying lots of people or lots of stuff.<br/>- I am looking at trucks selling for anywhere between $3000 and $4000<br/>",,,,699868
Owner/Operator,10+ years,,,48.1,,72837041
A-L FINANCIAL CORP.,7 years,  Borrower added on 11/01/12 > Tell your story. What is your loan for?<br><br> Borrower added on 11/01/12 > I am going to use the money to pay down my higher interest credt cards.<br>,,,45.0,1988411
Professor,10+ years,  Borrower added on 01/16/14 > We just bought our first home. We're thrilled! But home improvement costs. We spent our savings buying the house. We want to do some small renovations and this loan will allow us to do so. Thanks!<br>,,,,12520273
AQC Cooridinator,3 years,,,,,29382858
Mooresville City Schools,10+ years,"  Borrower added on 06/12/13 > I am simplifying my financial life, hopefully with help from you!   Thank you so much.<br>",,,51.0,7230166
Technical solutions specialist,8 years,,,,,59662766
Pepsico,10+ years,,,,,6498838
Sales Manager,4 years,,,,,15329530
Registered Nurse ,5 years,,,,10.0,61546736
Captain,10+ years,,,0.0,,73323991
Material Handler,7 years,,,,,42386073
bus driver,10+ years,,,,54.0,43978478
Projects Manager,10+ years,,,,57.0,20858142
Office Manager,2 years,,,,20.0,31267550
3Crowd Technologies,2 years,,,,,1366368
supervisor,5 years,  Borrower added on 02/06/14 > I want to pay off a consolidation loan from One Main Financial and remaining credit card debt and have only one payment to focus on going forward.<br>,,,39.0,13646868
Programmer,1 year,,,,,16673171
Customer Service Representative,2 years,,,,,41035105
Customer Service Supervisor,< 1 year,,,,57.0,27669523
Database Manager,6 years,,,,,23142546
Optima Healthcare Solutions,10+ years,,,,25.0,1521577
supervisor,10+ years,,,,,48552059
Director,2 years,,,,14.0,53232744
Radfiographer,10+ years,,,,18.0,34641925
Metal Trades Supervisor,10+ years,,,,28.0,44666986
,,,,,26.0,58439650
Chief Fire Officer/Fire Marshal,10+ years,,,58.4,64.0,72369713
Partner ,7 years,,,,31.0,19435703
Philip Morris,10+ years,  Borrower added on 09/20/11 > Plan to use the funds for debt consolidation and home improvements.<br/>,,,,1107652
"Chief, Health Administration Service",10+ years,,,,,42223200
teacher,10+ years,,,,24.0,26207556
Wake Urological Associates,8 years,  Borrower added on 06/24/13 > We engaged Empire Direct to install a new kitchen floor and was able to secure an &quot;Interest Free&quot; period of financing.  We are now at the end of that and we are trying to avoid the &quot;Back Interest&quot; for not paying it off in the time period of this Interest Free period We are  trying to Refi this floor<br>,,,25.0,7439006
driver,8 years,,,,35.0,41410443
SR.ANALYST,1 year,,,,9.0,67280009
Telecom Mgr,9 years,,,,,57897147
Mortgage Sales Associate,8 years,,,,71.0,70456267
Banker,7 years,,,,,50853105
lead neurointerventional technologist,9 years,,,,,26386537
Police Officer,10+ years,,,,78.0,65611406
Case Manager,2 years,,,,14.0,54626436
Manager,8 years,,,,,51803673
Nuclear Security,7 years,,,,,42466470
